**note it stops for one second, then resumes at max speed, refer to video sent, at the time i press enter, and enter "y"

C:\Users\johns\Desktop\rplidar>simple_grabber COM4
RPLIDAR S/N: 81939A86C0E09CC9A2E09DF713413079
Version: 1.10.0
Firmware Ver: 1.28
Hardware Rev: 5
RPLidar health status : OK. (errorcode: 0)
waiting for data...
*WARN* YOU ARE USING DEPRECATED API: grabScanData(), PLEASE MOVE TO grabScanDataHq()
*WARN* YOU ARE USING DEPRECATED API: ascendScanData(rplidar_response_measurement_node_t*, size_t), PLEASE MOVE TO ascendScanData(rplidar_response_measurement_node_hq_t*, size_t)
                                                        **     *
                                                        **     *
                                                        **    **
                                                        **    **
                                                       ***    **
                                                       ***    **
                                                    ******    **
                                                    ******    **
                                                    *******   **
                                                    ************
                                                    ************
                                          *         ************
                                        ****        ************
                                        ****        ************
                                        ****        ************
                               *        ****        ************
                               *        *****       ************     **
                               ****** *******       ************     ******
                         **    ******************** ************    *******
***************************************************************************
---------------------------------------------------------------------------
Do you want to see all the data? (y/n) y
   theta: 90.88 Dist: 00304.00
   theta: 91.30 Dist: 00000.00
   theta: 91.94 Dist: 00000.00
   theta: 92.58 Dist: 00000.00
   theta: 93.22 Dist: 00000.00
   theta: 93.86 Dist: 00000.00
   theta: 94.50 Dist: 00000.00
   theta: 95.14 Dist: 00000.00
   theta: 95.80 Dist: 00000.00
   theta: 96.44 Dist: 00000.00
   theta: 97.08 Dist: 00000.00
   theta: 97.72 Dist: 00000.00
   theta: 98.36 Dist: 00000.00
   theta: 99.00 Dist: 00000.00
   theta: 99.64 Dist: 00000.00
   theta: 100.28 Dist: 00000.00
   theta: 100.92 Dist: 00000.00
   theta: 101.56 Dist: 00000.00
   theta: 102.20 Dist: 00000.00
   theta: 102.84 Dist: 00000.00
   theta: 106.31 Dist: 00305.00
   theta: 106.70 Dist: 00305.00
   theta: 107.36 Dist: 00303.00
   theta: 107.75 Dist: 00305.00
   theta: 108.41 Dist: 00304.00
   theta: 109.27 Dist: 00000.00
   theta: 109.44 Dist: 00303.00
   theta: 109.91 Dist: 00000.00
   theta: 109.94 Dist: 00302.00
   theta: 110.55 Dist: 00000.00
   theta: 110.58 Dist: 00302.00
   theta: 110.97 Dist: 00303.00
   theta: 111.19 Dist: 00000.00
   theta: 111.83 Dist: 00000.00
   theta: 112.47 Dist: 00000.00
   theta: 113.11 Dist: 00000.00
   theta: 113.77 Dist: 00000.00
   theta: 114.41 Dist: 00000.00
   theta: 115.05 Dist: 00000.00
   theta: 117.61 Dist: 00000.00
   theta: 118.25 Dist: 00000.00
   theta: 118.25 Dist: 00313.00
   theta: 118.89 Dist: 00000.00
   theta: 119.02 Dist: 00315.00
   theta: 119.41 Dist: 00323.00
   theta: 119.53 Dist: 00000.00
   theta: 120.81 Dist: 00000.00
   theta: 121.45 Dist: 00000.00
   theta: 122.09 Dist: 00351.00
   theta: 124.77 Dist: 00276.00
   theta: 126.27 Dist: 00275.00
   theta: 126.28 Dist: 00279.00
   theta: 127.31 Dist: 00280.00
   theta: 127.55 Dist: 00280.00
   theta: 128.33 Dist: 00280.00
   theta: 129.09 Dist: 00280.00
   theta: 129.23 Dist: 00281.00
   theta: 129.75 Dist: 00283.00
   theta: 130.63 Dist: 00284.00
   theta: 131.08 Dist: 00000.00
   theta: 131.38 Dist: 00285.00
   theta: 131.63 Dist: 00286.00
   theta: 131.72 Dist: 00000.00
   theta: 132.38 Dist: 00000.00
   theta: 132.77 Dist: 00286.00
   theta: 133.02 Dist: 00000.00
   theta: 133.14 Dist: 00286.00
   theta: 133.66 Dist: 00000.00
   theta: 137.03 Dist: 00289.00
   theta: 137.81 Dist: 00289.00
   theta: 138.14 Dist: 00000.00
   theta: 138.55 Dist: 00292.00
   theta: 138.67 Dist: 00294.00
   theta: 138.78 Dist: 00000.00
   theta: 139.42 Dist: 00000.00
   theta: 139.56 Dist: 00297.00
   theta: 139.67 Dist: 00295.00
   theta: 140.06 Dist: 00000.00
   theta: 140.70 Dist: 00000.00
   theta: 141.34 Dist: 00000.00
   theta: 142.00 Dist: 00000.00
   theta: 142.64 Dist: 00000.00
   theta: 143.28 Dist: 00000.00
   theta: 143.92 Dist: 00000.00
   theta: 144.56 Dist: 00000.00
   theta: 145.20 Dist: 00000.00
   theta: 145.84 Dist: 00000.00
   theta: 146.48 Dist: 00000.00
   theta: 147.13 Dist: 00000.00
   theta: 147.77 Dist: 00000.00
   theta: 148.41 Dist: 00000.00
   theta: 149.05 Dist: 00000.00
   theta: 149.69 Dist: 00000.00
   theta: 150.33 Dist: 00000.00
   theta: 150.98 Dist: 00000.00
   theta: 151.63 Dist: 00000.00
   theta: 152.27 Dist: 00000.00
   theta: 152.58 Dist: 02867.00
   theta: 152.91 Dist: 00000.00
   theta: 153.36 Dist: 02894.00
   theta: 153.55 Dist: 00000.00
   theta: 154.19 Dist: 00000.00
   theta: 156.11 Dist: 00000.00
   theta: 156.55 Dist: 00570.00
   theta: 157.20 Dist: 00559.00
   theta: 158.11 Dist: 00552.00
   theta: 158.75 Dist: 00550.00
   theta: 159.28 Dist: 00547.00
   theta: 159.94 Dist: 00541.00
   theta: 160.72 Dist: 00544.00
   theta: 161.38 Dist: 00544.00
   theta: 162.03 Dist: 00543.00
   theta: 162.69 Dist: 00543.00
   theta: 163.34 Dist: 00542.00
   theta: 163.88 Dist: 00545.00
   theta: 164.53 Dist: 00544.00
   theta: 165.19 Dist: 00544.00
   theta: 165.97 Dist: 00543.00
   theta: 166.64 Dist: 00545.00
   theta: 167.16 Dist: 00550.00
   theta: 167.81 Dist: 00551.00
   theta: 168.34 Dist: 00564.00
   theta: 169.25 Dist: 00571.00
   theta: 169.78 Dist: 00571.00
   theta: 170.56 Dist: 00558.00
   theta: 170.97 Dist: 00567.00
   theta: 171.63 Dist: 00576.00
   theta: 172.28 Dist: 00579.00
   theta: 172.94 Dist: 00581.00
   theta: 173.59 Dist: 00580.00
   theta: 174.38 Dist: 00582.00
   theta: 175.03 Dist: 00581.00
   theta: 175.56 Dist: 00584.00
   theta: 176.72 Dist: 00502.00
   theta: 177.38 Dist: 00497.00
   theta: 177.91 Dist: 00491.00
   theta: 178.69 Dist: 00489.00
   theta: 179.47 Dist: 00488.00
   theta: 180.13 Dist: 00487.00
   theta: 180.78 Dist: 00487.00
   theta: 181.44 Dist: 00487.00
   theta: 181.97 Dist: 00489.00
   theta: 182.75 Dist: 00488.00
   theta: 183.28 Dist: 00498.00
   theta: 183.70 Dist: 00000.00
   theta: 183.81 Dist: 00506.00
   theta: 184.34 Dist: 00000.00
   theta: 185.28 Dist: 00627.00
   theta: 185.94 Dist: 00632.00
   theta: 186.59 Dist: 00636.00
   theta: 187.25 Dist: 00639.00
   theta: 187.78 Dist: 00640.00
   theta: 188.56 Dist: 00636.00
   theta: 189.09 Dist: 00639.00
   theta: 189.84 Dist: 00644.00
   theta: 190.47 Dist: 00649.00
   theta: 190.98 Dist: 00659.00
   theta: 191.61 Dist: 00669.00
   theta: 192.13 Dist: 00692.00
   theta: 192.69 Dist: 00000.00
   theta: 193.33 Dist: 00000.00
   theta: 193.39 Dist: 01805.00
   theta: 193.91 Dist: 01912.00
   theta: 193.97 Dist: 00000.00
   theta: 194.53 Dist: 02012.00
   theta: 195.16 Dist: 02007.00
   theta: 195.80 Dist: 02005.00
   theta: 196.42 Dist: 02072.00
   theta: 197.06 Dist: 02240.00
   theta: 197.81 Dist: 01708.00
   theta: 198.44 Dist: 01715.00
   theta: 199.08 Dist: 01750.00
   theta: 199.58 Dist: 02251.00
   theta: 200.22 Dist: 01938.00
   theta: 200.84 Dist: 01912.00
   theta: 201.47 Dist: 01913.00
   theta: 202.11 Dist: 01915.00
   theta: 202.73 Dist: 01890.00
   theta: 203.50 Dist: 01920.00
   theta: 204.00 Dist: 02194.00
   theta: 204.63 Dist: 02238.00
   theta: 205.27 Dist: 02262.00
   theta: 205.89 Dist: 02259.00
   theta: 206.53 Dist: 02272.00
   theta: 207.16 Dist: 02269.00
   theta: 207.80 Dist: 02275.00
   theta: 208.31 Dist: 02279.00
   theta: 209.09 Dist: 02275.00
   theta: 209.63 Dist: 02388.00
   theta: 210.53 Dist: 01654.00
   theta: 211.31 Dist: 01651.00
   theta: 211.84 Dist: 01652.00
   theta: 212.48 Dist: 01654.00
   theta: 213.27 Dist: 01657.00
   theta: 213.92 Dist: 01661.00
   theta: 215.80 Dist: 00000.00
   theta: 218.11 Dist: 00386.00
   theta: 219.02 Dist: 00361.00
   theta: 220.03 Dist: 00359.00
   theta: 220.56 Dist: 00358.00
   theta: 221.34 Dist: 00359.00
   theta: 222.00 Dist: 00359.00
   theta: 222.53 Dist: 00359.00
   theta: 222.94 Dist: 00359.00
   theta: 223.47 Dist: 00359.00
   theta: 224.61 Dist: 00359.00
   theta: 225.14 Dist: 00358.00
   theta: 225.92 Dist: 00360.00
   theta: 225.95 Dist: 00360.00
   theta: 226.73 Dist: 00362.00
   theta: 227.39 Dist: 00363.00
   theta: 228.03 Dist: 00363.00
   theta: 228.94 Dist: 00365.00
   theta: 229.22 Dist: 00367.00
   theta: 229.88 Dist: 00369.00
   theta: 230.78 Dist: 00372.00
   theta: 231.06 Dist: 00379.00
   theta: 231.97 Dist: 00386.00
   theta: 232.48 Dist: 00391.00
   theta: 232.88 Dist: 00395.00
   theta: 233.89 Dist: 00397.00
   theta: 234.41 Dist: 00403.00
   theta: 234.55 Dist: 00414.00
   theta: 235.44 Dist: 00420.00
   theta: 235.97 Dist: 00423.00
   theta: 236.48 Dist: 00426.00
   theta: 237.50 Dist: 00428.00
   theta: 237.61 Dist: 00000.00
   theta: 237.89 Dist: 00429.00
   theta: 238.25 Dist: 00000.00
   theta: 238.53 Dist: 00433.00
   theta: 240.34 Dist: 00474.00
   theta: 240.61 Dist: 00474.00
   theta: 241.25 Dist: 00475.00
   theta: 242.02 Dist: 00473.00
